	ReviewTitle	P(review|positive)	P(review|negative)	PredicResult	CorrectResult	Prediction is R or W
329	 The One with Phoebe's Ex-Partner	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
330	 Phoebe was once in a duo	-1410.7303831798931	-1540.9830649099545	positive	negative	wrong
331	 I wish!	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
332	 A key episode	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
333	 The One Where Ross and Rachel Take a Break	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
334	 The worst episode of friends	-188.38002069937204	-206.57298411113902	positive	negative	wrong
335	 a womans job less important than mans ? today that	-305.9137093994215	-334.8816457264099	positive	negative	wrong
336	 Painful to see the writer made Rach this unreasonable	-305.9137093994215	-334.8816457264099	positive	negative	wrong
337	 They were on a break?	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
338	 THEY WERE ON A BREAK!	-211.88675843938194	-232.23471643419325	positive	negative	wrong
339	 The One Without the Ski Trip	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
340	 Post break-up fun for Ross and Rachel	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
341	 Half of a funny episode.	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
342	 That is a stunning blouse	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
343	 Breaking up is hard to do	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
344	 The One with the Dollhouse	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
345	 I'll call you	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
346	 Hope for Ross and Rachel yet	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
347	 The One with the Screamer	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
348	 Ahh.. Trolls..got to love them.	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
349	 Step away from the duck!	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
350	 Want to see how to ruin a perfectly fine episode?	-399.9406603594611	-437.52857501862644	positive	negative	wrong
351	 The One with Ross's Thing	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
352	 Below average episode	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
353	 Much better	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
354	 The One with the Ultimate Fighting Champion	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
355	 A little dated...	-282.4069716594116	-309.21991340335575	positive	negative	wrong
356	 The One with the Ultimate Fighting Champion	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
357	 A fun end to series 3	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
358	 Back to the beach	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
359	 Bad! Bad!! Baaaaaaddddd!!!	-305.9137093994215	-334.8816457264099	positive	negative	wrong
360	 The One with the Cat	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
361	 A fun episode	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
362	 Pull a Monica	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
363	 A misleading title, but a good episode	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
364	 Funny and sad all in one episode	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
365	 The One Where Monica And Phoebe Become Business Partners...	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
366	 Happy Birthday. I'm sorry	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
367	 So far past the line...	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
368	 The One Where Chandler Crosses the Line	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
369	 A strong episode	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
370	 Not the best. Not the worst	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
371	 The One Where They're Going to Party!	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
372	 Unbelievable	-204.05117919271197	-223.68080565984184	positive	negative	wrong
373	 Worst Episode from Friends	-1575.2775473599636	-1720.6151911713334	positive	negative	wrong
374	 His name is Dragon	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
375	 I can't believe this episode was	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
376	 The One with the Girl from Poughkeepsie	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
377	 These aren't real!	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
378	 I really hate the character of Pheobe	-1465.5794379065833	-1600.8604403304141	positive	negative	wrong
379	 It's just messed up!	-682.021513239581	-745.4693628952762	positive	negative	wrong
380	 The One with Rachel's Crush	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
381	 Here's your girlfriend's button	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
382	 The One with Joey's Dirty Day	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
383	" ""I stink"""	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
384	 Joey stinks. This episode isn't much better	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
385	 SHAME	-258.9002339194017	-283.5581810803016	positive	negative	wrong
386	 Red Ross	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
387	 Not great	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
388	 Boring Rachel	-290.2425509060816	-317.7738241777071	positive	negative	wrong
389	 Pretty funny.	-1277.5255359865027	-1395.566581745981	positive	negative	wrong
390	 Oh the joys of Toblerone	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
391	 Hi, hi, you're crazy	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
392	 The One with All the Haste	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
393	 Apartment swapping	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
394	 A lot of wedding dresses	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
395	 Been rewatching episodes that I had not seen in a LONG time	-721.1994094729312	-788.2389167670331	positive	negative	wrong
396	 ...	-133.53096597268228	-146.69560869067917	positive	negative	wrong
397	 The first 'Friends' flashback episode	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
398	 The One with the Invitation	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
399	 a fine episode	-987.6091038597119	-1079.07188309498	positive	negative	wrong
400	 You can skip this one.	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
401	 Friendsback (BORING AGAIN)	-595.8301415262108	-651.376344377411	positive	negative	wrong
402	 The One With A Lot Of Flashback	-211.88675843938194	-232.23471643419325	positive	negative	wrong
403	 The One with the Worst Best Man Ever	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
404	 A good duck	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
405	 London baby!	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
406	 HATE RACHEL	-125.6953867260123	-138.14169791632776	positive	negative	wrong
407	 THAT'S REALLY SUCKS!!	-204.05117919271197	-223.68080565984184	positive	negative	wrong
408	 Shall I go on?	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
409	 The One With Ross the Most Dumbest Man on Earth	-376.4339226194512	-411.8668426955723	positive	negative	wrong
410	 Monica is a horrible sister	-807.3907811863014	-882.3319352848982	positive	negative	wrong
411	 A dip in quality	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
412	 Rachel is in love with Ross!	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
413	 The One with All the Kissing	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
414	 Two dull long-running storylines	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
415	 Phoebe is going to have the triplets!	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
416	 Happy 100th	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
417	 Ross still tries to talk to Emily!	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
418	 The One Where Phoebe Hates PBS	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
419	 Emily has serious issues	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
420	 The One with the Yeti	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
421	 Another episode bogged down by a weak story	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
422	 The One With Danny's Party...	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
423	 Ross and Emily's marriage REALLY ends.	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
424	 Wanted to like this more...	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
425	 Start of decline	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
426	" The worst ""Friends"" episode."	-1724.153553046694	-1883.1394958840096	positive	negative	wrong
427	 Phoebe starts to go to literature classes!	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
428	 The One with the Inappropriate Sister	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
429	 The One with Chandler's Work Laugh	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
430	 This is supposed to be a review, right?	-799.5552019396314	-873.7780245105469	positive	negative	wrong
431	 Phoebe finally meets her dad, Frank Buffay!	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
432	 The One with Joey's Bag	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
433	 The One with the Girl Who Hits Joey	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
434	 A storyline with potential but no payoff	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
435	 Perhaps one of my most hated episodes	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
436	 This episode was bad.	-1105.1427925597623	-1207.3805447102507	positive	negative	wrong
437	 Unfunny	-329.4204471394314	-360.543378049464	positive	negative	wrong
438	 A weak episode	-1355.881328453203	-1481.1056894894948	positive	negative	wrong
439	 The One Where Rachel Smokes	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
440	 The title story lets down an otherwise good episode	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
441	 The One with the Ball	-0.32611877929285354	-1.2791255267052806	positive	negative	wrong
